"","rnaDate","rnaPreparer","rnaSampleNumber","s1cDNADate","s1cDNAPreparer","s1cDNASampleNumber","polyAIsolationProtocol","s1Protocol","roboticS1Prep","s1PrimerSeq"
"127","08.19.19","J.PLAGGENBERG",1,"08.21.19","J.PLAGGENBERG",7,"NEBNextPoly(A)E7490","E7760","No","random"
"128","08.19.19","J.PLAGGENBERG",2,"08.21.19","J.PLAGGENBERG",8,"NEBNextPoly(A)E7490","E7760","No","random"
"129","08.19.19","J.PLAGGENBERG",3,"08.21.19","J.PLAGGENBERG",9,"NEBNextPoly(A)E7490","E7760","No","random"
"130","08.19.19","J.PLAGGENBERG",4,"08.21.19","J.PLAGGENBERG",10,"NEBNextPoly(A)E7490","E7760","No","random"
"131","08.19.19","J.PLAGGENBERG",5,"08.21.19","J.PLAGGENBERG",11,"NEBNextPoly(A)E7490","E7760","No","random"
"132","08.19.19","J.PLAGGENBERG",6,"08.21.19","J.PLAGGENBERG",12,"NEBNextPoly(A)E7490","E7760","No","random"
"133","08.19.19","J.PLAGGENBERG",7,"08.21.19","J.PLAGGENBERG",13,"NEBNextPoly(A)E7490","E7760","No","random"
"134","08.19.19","J.PLAGGENBERG",8,"08.21.19","J.PLAGGENBERG",14,"NEBNextPoly(A)E7490","E7760","No","random"
"135","08.19.19","J.PLAGGENBERG",9,"08.21.19","J.PLAGGENBERG",15,"NEBNextPoly(A)E7490","E7760","No","random"
"136","08.19.19","J.PLAGGENBERG",10,"08.21.19","J.PLAGGENBERG",16,"NEBNextPoly(A)E7490","E7760","No","random"
"137","08.19.19","J.PLAGGENBERG",11,"08.21.19","J.PLAGGENBERG",17,"NEBNextPoly(A)E7490","E7760","No","random"
"138","08.19.19","J.PLAGGENBERG",12,"08.21.19","J.PLAGGENBERG",18,"NEBNextPoly(A)E7490","E7760","No","random"
"139","08.27.19","J.PLAGGENBERG",1,"08.29.19","J.PLAGGENBERG",1,"NEBNextPoly(A)E7490","E7760","No","random"
"140","08.27.19","J.PLAGGENBERG",2,"08.29.19","J.PLAGGENBERG",2,"NEBNextPoly(A)E7490","E7760","No","random"
"141","08.27.19","J.PLAGGENBERG",3,"08.29.19","J.PLAGGENBERG",3,"NEBNextPoly(A)E7490","E7760","No","random"
"142","08.27.19","J.PLAGGENBERG",4,"08.29.19","J.PLAGGENBERG",4,"NEBNextPoly(A)E7490","E7760","No","random"
"143","08.27.19","J.PLAGGENBERG",5,"08.29.19","J.PLAGGENBERG",5,"NEBNextPoly(A)E7490","E7760","No","random"
"144","08.27.19","J.PLAGGENBERG",6,"08.29.19","J.PLAGGENBERG",6,"NEBNextPoly(A)E7490","E7760","No","random"
"145","08.27.19","J.PLAGGENBERG",7,"08.29.19","J.PLAGGENBERG",7,"NEBNextPoly(A)E7490","E7760","No","random"
"146","08.27.19","J.PLAGGENBERG",8,"08.29.19","J.PLAGGENBERG",8,"NEBNextPoly(A)E7490","E7760","No","random"
"147","08.27.19","J.PLAGGENBERG",9,"08.29.19","J.PLAGGENBERG",9,"NEBNextPoly(A)E7490","E7760","No","random"
"148","08.27.19","J.PLAGGENBERG",10,"08.29.19","J.PLAGGENBERG",10,"NEBNextPoly(A)E7490","E7760","No","random"
"149","08.27.19","J.PLAGGENBERG",11,"08.29.19","J.PLAGGENBERG",11,"NEBNextPoly(A)E7490","E7760","No","random"
"150","08.27.19","J.PLAGGENBERG",12,"08.29.19","J.PLAGGENBERG",12,"NEBNextPoly(A)E7490","E7760","No","random"
"151","08.27.19","J.PLAGGENBERG",13,"08.29.19","J.PLAGGENBERG",13,"NEBNextPoly(A)E7490","E7760","No","random"
"152","08.27.19","J.PLAGGENBERG",14,"08.29.19","J.PLAGGENBERG",14,"NEBNextPoly(A)E7490","E7760","No","random"
"153","08.27.19","J.PLAGGENBERG",15,"08.29.19","J.PLAGGENBERG",15,"NEBNextPoly(A)E7490","E7760","No","random"
"154","08.27.19","J.PLAGGENBERG",16,"08.29.19","J.PLAGGENBERG",16,"NEBNextPoly(A)E7490","E7760","No","random"
"155","08.27.19","J.PLAGGENBERG",17,"08.29.19","J.PLAGGENBERG",17,"NEBNextPoly(A)E7490","E7760","No","random"
